              run_id               | variant  | git_sha | scale | days | devices | rows_per_device_day | chunk_interval | extversion |              pg_version               
-----------------------------------+----------+---------+-------+------+---------+---------------------+----------------+------------+---------------------------------------
 t2-after-7c8a54d-20260922T004338Z | t2-after | 7c8a54d | small |  400 |     200 |                  24 | 7 days         | 2.31.0-dev | 16.15 (Ubuntu 16.15-0ubuntu0.24.04.1)


-- median of three runs
 query_id |     tbl      | exec_ms | plan_ms | chunks_in_plan | chunks_excluded_startup | vectorized_filter | rows | scan_rows | shared_hit | shared_read 
----------+--------------+---------+---------+----------------+-------------------------+-------------------+------+-----------+------------+-------------
 Q1       | metrics_date |   20.52 |    5.40 |             10 |                     106 | t                 |    1 |    290000 |       6025 |           0
 Q1       | metrics_tstz |    6.16 |    0.62 |             10 |                       0 | t                 |    1 |    290000 |       6025 |           0
 Q2       | metrics_date |   16.73 |    4.33 |             10 |                     106 | t                 |    1 |    299600 |       6025 |           0
 Q2       | metrics_tstz |   15.50 |    4.47 |             10 |                     106 | t                 |    1 |    299600 |       6025 |           0
 Q3       | metrics_date |    4.82 |    0.48 |             10 |                       0 | t                 |    1 |    299600 |       4225 |           0
 Q3       | metrics_tstz |    4.74 |    0.43 |             10 |                       0 | t                 |    1 |    299600 |       4225 |           0
 Q4       | metrics_date |   29.40 |    0.72 |             10 |                       0 | t                 | 1000 |    299600 |       9025 |           0
 Q4       | metrics_tstz |   16.53 |    0.47 |             10 |                       0 | t                 | 1000 |    299600 |       9025 |           0
 Q5       | metrics_date |    0.07 |    0.16 |              2 |                       0 | t                 |   24 |        26 |         23 |           0
 Q5       | metrics_tstz |    0.05 |    0.20 |              2 |                       0 | t                 |   24 |        26 |         23 |           0

