run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q1,1,3.442,6.605,6151,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q1,2,0.487,6.027,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q1,3,0.429,5.951,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q2,1,0.418,5.453,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q2,2,0.339,5.343,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q2,3,0.341,5.438,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q3,1,2.373,6.361,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q3,2,0.347,4.939,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q3,3,0.326,4.749,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q4,1,0.677,22.047,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q4,2,0.535,22.003,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q4,3,0.489,22.194,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q5,1,0.479,0.055,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q5,2,0.154,0.038,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,Q5,3,0.182,0.036,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q1,1,3.579,7.265,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q1,2,0.445,6.121,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q1,3,0.356,5.629,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q2,1,21.342,16.496,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q2,2,4.614,15.3,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q2,3,4.508,15.781,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q3,1,0.712,5.495,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q3,2,0.357,4.779,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q3,3,0.295,4.289,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23'"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q4,1,0.602,16.698,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,Q4,2,0.42,16.14,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', ts) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_tstz WHERE ts >= '2026-02-20' AND ts < '2026-03-23' GROUP BY 1, 2"
