run_id,variant,git_sha,tbl,colname,coltype,uncompressed_bytes,compressed_bytes,uncompressed_bytes_per_row,compressed_bytes_per_row,ratio,batches,avg_meta_count
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,day,date,7680000,1059400,4.000,0.552,7.249,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,status,text,8959577,1314600,4.666,0.685,6.815,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,v1,double precision,15360000,13350080,8.000,6.953,1.151,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,v2,double precision,15360000,14837200,8.000,7.728,1.035,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,v3,integer,7680000,2658424,4.000,1.385,2.889,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,(columns),,85759577,36182600,44.666,18.845,2.370,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,(heap),,159645696,6160384,83.149,3.209,25.915,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,(index),,14057472,950272,7.322,0.495,14.793,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,(toast),,475136,47931392,0.247,24.964,0.010,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_date,(total),,174178304,55042048,90.718,28.668,3.164,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,status,text,8959577,1314600,4.666,0.685,6.815,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,ts,timestamp with time zone,15360000,2976200,8.000,1.550,5.161,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,v1,double precision,15360000,13350080,8.000,6.953,1.151,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,v2,double precision,15360000,14837200,8.000,7.728,1.035,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,v3,integer,7680000,2658424,4.000,1.385,2.889,11600,165.51724137931035
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,(columns),,93439577,38099400,48.666,19.843,2.453,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,(heap),,159645696,6160384,83.149,3.209,25.915,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,(index),,14057472,950272,7.322,0.495,14.793,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,(toast),,475136,51208192,0.247,26.671,0.009,,
t3-after-2085ee2-20260922T113428Z,t3-after,2085ee2,metrics_tstz,(total),,174178304,58318848,90.718,30.374,2.987,,
