run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q1,1,23.529,20.684,6151,0,5,5,10,53,t,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q1,2,4.979,19.635,6025,0,5,5,10,53,t,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q1,3,4.21,19.808,6025,0,5,5,10,53,t,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q2,1,3.678,16.374,6085,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q2,2,3.833,16.285,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q2,3,3.714,15.974,6085,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q3,1,0.716,5.055,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q3,2,0.525,4.614,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q3,3,0.372,4.734,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q4,1,0.658,21.662,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q4,2,0.643,21.543,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q4,3,0.58,21.374,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q5,1,0.438,0.054,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q5,2,0.193,0.039,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_date,Q5,3,0.127,0.035,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_tstz,Q1,1,3.06,6.492,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_tstz,Q1,2,0.495,5.89,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_tstz,Q1,3,0.421,5.739,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= now() - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_tstz,Q2,1,16.328,17.577,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_tstz,Q2,2,4.309,14.957,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
t3-before-2085ee2-20260922T113337Z,t3-before,2085ee2,metrics_tstz,Q2,3,3.955,15.011,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_tstz WHERE ts >= date_trunc('day', now()) - interval '30 days'"
