run_id,variant,git_sha,tbl,colname,coltype,uncompressed_bytes,compressed_bytes,uncompressed_bytes_per_row,compressed_bytes_per_row,ratio,batches,avg_meta_count
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,day,date,7680000,1059400,4.000,0.552,7.249,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,status,text,8960056,1314600,4.667,0.685,6.816,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,v1,double precision,15360000,13351304,8.000,6.954,1.150,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,v2,double precision,15360000,14839688,8.000,7.729,1.035,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,v3,integer,7680000,2658576,4.000,1.385,2.889,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,(columns),,85760056,36186464,44.667,18.847,2.370,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,(heap),,159653888,6160384,83.153,3.209,25.916,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,(index),,14057472,950272,7.322,0.495,14.793,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,(toast),,475136,48103424,0.247,25.054,0.010,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_date,(total),,174186496,55214080,90.722,28.757,3.155,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,status,text,8960056,1314600,4.667,0.685,6.816,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,ts,timestamp with time zone,15360000,2976200,8.000,1.550,5.161,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,v1,double precision,15360000,13351304,8.000,6.954,1.150,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,v2,double precision,15360000,14839688,8.000,7.729,1.035,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,v3,integer,7680000,2658576,4.000,1.385,2.889,11600,165.51724137931035
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,(columns),,93440056,38103264,48.667,19.845,2.452,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,(heap),,159653888,6160384,83.153,3.209,25.916,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,(index),,14057472,950272,7.322,0.495,14.793,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,(toast),,475136,51208192,0.247,26.671,0.009,,
baseline-2551fd8-20260922T005123Z,baseline,2551fd8,metrics_tstz,(total),,174186496,58318848,90.722,30.374,2.987,,
