run_id,variant,git_sha,tbl,colname,coltype,uncompressed_bytes,compressed_bytes,uncompressed_bytes_per_row,compressed_bytes_per_row,ratio,batches,avg_meta_count
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,day,date,7680000,4240000,4.000,2.208,1.811,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,device_id,integer,7680000,320000,4.000,0.167,24.000,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,region_id,integer,7680000,4112000,4.000,2.142,1.868,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,seq,bigint,15360000,4239992,8.000,2.208,3.623,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,status,text,8958986,5999921,4.666,3.125,1.493,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,v1,double precision,15360000,20252280,8.000,10.548,0.758,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,v2,double precision,15360000,22170328,8.000,11.547,0.693,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,v3,integer,7680000,5329384,4.000,2.776,1.441,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,(columns),,85758986,66663905,44.666,34.721,1.286,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,(heap),,172482560,117964800,89.835,61.440,1.462,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,(index),,0,6553600,0.000,3.413,0.000,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,(toast),,3276800,3276800,1.707,1.707,1.000,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_date,(total),,175759360,127795200,91.541,66.560,1.375,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,device_id,integer,7680000,320000,4.000,0.167,24.000,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,region_id,integer,7680000,4112000,4.000,2.142,1.868,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,seq,bigint,15360000,4239992,8.000,2.208,3.623,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,status,text,8958986,5999921,4.666,3.125,1.493,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,ts,timestamp with time zone,15360000,4880000,8.000,2.542,3.148,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,v1,double precision,15360000,20252280,8.000,10.548,0.758,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,v2,double precision,15360000,22170328,8.000,11.547,0.693,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,v3,integer,7680000,5329384,4.000,2.776,1.441,80000,24
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,(columns),,93438986,67303905,48.666,35.054,1.388,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,(heap),,172482560,117964800,89.835,61.440,1.462,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,(index),,0,6553600,0.000,3.413,0.000,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,(toast),,3276800,3276800,1.707,1.707,1.000,,
defaults-1d-noindex-1dc07b9-20260922T010357Z,defaults-1d-noindex,1dc07b9,metrics_tstz,(total),,175759360,127795200,91.541,66.560,1.375,,
