run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q1,1,11.515,13.13,690,0,30,30,60,1,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q1,2,2.271,12.104,690,0,30,30,60,1,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q1,3,2.096,11.916,690,0,30,30,60,1,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q1-np,1,11.82,16.401,690,0,30,30,60,1,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q1-np,2,2.343,13.518,690,0,30,30,60,1,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q1-np,3,5.064,12.045,690,0,30,30,60,1,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q2,1,2.558,11.534,713,0,31,31,62,1,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q2,2,2.075,11.153,713,0,31,31,62,1,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q2,3,1.903,11.177,713,0,31,31,62,1,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q2-np,1,2.597,12.328,713,0,31,31,62,1,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q2-np,2,3.555,15.267,713,0,31,31,62,1,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q2-np,3,2.191,11.837,713,0,31,31,62,1,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-1d-ac62b98-20260922T115100Z,int-after-1d,ac62b98,metrics_date,Q3,1,8.198,9.25,713,0,31,31,62,0,f,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
