run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q1,1,3.344,7.026,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q1,2,1.095,6.162,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q1,3,0.436,6.015,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q1-np,1,3.265,6.955,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q1-np,2,0.632,6.107,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q1-np,3,0.48,6.334,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q2,1,0.403,5.705,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q2,2,0.408,5.659,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q2,3,0.406,5.638,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q2-np,1,0.516,5.86,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q2-np,2,0.383,5.724,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q2-np,3,0.387,5.649,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q3,1,1.741,5.017,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q3,2,0.374,4.582,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q3,3,0.369,5.044,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q3-np,1,1.706,5.198,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,Q3-np,2,0.559,4.603,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
