run_id,variant,git_sha,tbl,colname,coltype,uncompressed_bytes,compressed_bytes,uncompressed_bytes_per_row,compressed_bytes_per_row,ratio,batches,avg_meta_count
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,day,date,7680000,1059400,4.000,0.552,7.249,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,status,text,8960266,1314600,4.667,0.685,6.816,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,v1,double precision,15360000,13350888,8.000,6.954,1.150,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,v2,double precision,15360000,14836664,8.000,7.727,1.035,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,v3,integer,7680000,2657888,4.000,1.384,2.890,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,(columns),,85760266,36182336,44.667,18.845,2.370,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,(heap),,159637504,6160384,83.145,3.209,25.914,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,(index),,14057472,950272,7.322,0.495,14.793,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,(toast),,475136,48054272,0.247,25.028,0.010,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_date,(total),,174170112,55164928,90.714,28.732,3.157,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,status,text,8960266,1314600,4.667,0.685,6.816,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,ts,timestamp with time zone,15360000,2976200,8.000,1.550,5.161,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,v1,double precision,15360000,13350888,8.000,6.954,1.150,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,v2,double precision,15360000,14836664,8.000,7.727,1.035,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,v3,integer,7680000,2657888,4.000,1.384,2.890,11600,165.51724137931035
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,(columns),,93440266,38099136,48.667,19.843,2.453,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,(heap),,159637504,6160384,83.145,3.209,25.914,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,(index),,14057472,950272,7.322,0.495,14.793,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,(toast),,475136,51208192,0.247,26.671,0.009,,
int-after-ac62b98-20260922T115004Z,int-after,ac62b98,metrics_tstz,(total),,174170112,58318848,90.714,30.374,2.987,,
