run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q1,1,3.19,7.088,6150,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q1,2,0.827,6.126,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q1,3,0.507,5.821,6025,0,5,5,10,0,t,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q2,1,0.392,5.742,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q2,2,0.368,5.941,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q2,3,0.359,5.575,6025,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q3,1,1.694,8.73,4350,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q3,2,0.447,4.809,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q3,3,0.414,4.579,4225,0,5,5,10,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q4,1,0.713,22.607,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q4,2,0.557,22.734,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q4,3,0.528,21.525,9025,0,5,5,10,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q5,1,0.486,0.058,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q5,2,0.143,0.037,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,Q5,3,0.158,0.043,23,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
