run_id,variant,git_sha,tbl,colname,coltype,uncompressed_bytes,compressed_bytes,uncompressed_bytes_per_row,compressed_bytes_per_row,ratio,batches,avg_meta_count
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,day,date,7680000,1059400,4.000,0.552,7.249,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,status,text,8961555,1314600,4.667,0.685,6.817,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,v1,double precision,15360000,13351272,8.000,6.954,1.150,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,v2,double precision,15360000,14837896,8.000,7.728,1.035,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,v3,integer,7680000,2657696,4.000,1.384,2.890,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,(columns),,85761555,36183760,44.667,18.846,2.370,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,(heap),,159621120,6160384,83.136,3.209,25.911,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,(index),,14057472,950272,7.322,0.495,14.793,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,(toast),,475136,47988736,0.247,24.994,0.010,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_date,(total),,174153728,55099392,90.705,28.698,3.161,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,device_id,integer,7680000,46400,4.000,0.024,165.517,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,region_id,integer,7680000,594120,4.000,0.309,12.927,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,seq,bigint,15360000,2322376,8.000,1.210,6.614,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,status,text,8961555,1314600,4.667,0.685,6.817,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,ts,timestamp with time zone,15360000,2976200,8.000,1.550,5.161,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,v1,double precision,15360000,13351272,8.000,6.954,1.150,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,v2,double precision,15360000,14837896,8.000,7.728,1.035,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,v3,integer,7680000,2657696,4.000,1.384,2.890,11600,165.51724137931035
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,(columns),,93441555,38100560,48.667,19.844,2.452,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,(heap),,159621120,6160384,83.136,3.209,25.911,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,(index),,14057472,950272,7.322,0.495,14.793,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,(toast),,475136,51208192,0.247,26.671,0.009,,
int-after-guccheck-ac62b98-20260922T115259Z,int-after-guccheck,ac62b98,metrics_tstz,(total),,174153728,58318848,90.705,30.374,2.986,,
