run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q1,1,20.086,28.255,6444,0,58,58,116,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q1,2,4.404,22.524,6401,0,58,58,116,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q1,3,3.848,20.444,6360,0,58,58,116,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q1-np,1,20.086,16.671,6444,0,58,58,116,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q1-np,2,3.556,14.79,6319,0,58,58,116,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q1-np,3,3.69,14.835,6319,0,58,58,116,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q2,1,3.634,14.171,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q2,2,3.744,14.006,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q2,3,3.658,13.897,6025,0,5,5,10,53,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q2-np,1,3.589,6.178,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q2-np,2,3.024,5.929,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
int-baseline-ac62b98-20260922T114909Z,int-baseline,ac62b98,metrics_date,Q2-np,3,3.046,7.297,6025,0,5,5,10,53,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
